accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	authors	institution
KY680385	KY680385.1	CHIKV/Homo sapiens/USA/CKVHL_70/2014	2014-11-25	North America	USA	Polk County		Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Heberlein-Larson,L.	J. Craig Venter Institute
KY680391	KY680391.1	CHIKV/Homo sapiens/USA/CKVHL_72/2014	2014-10-24	North America	USA	Orange County		Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Heberlein-Larson,L.	J. Craig Venter Institute
KY680395	KY680395.1	CHIKV/Homo sapiens/USA/CKVHL_08/2014	2014-07-21	North America	USA	Dade County		Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Heberlein-Larson,L.	J. Craig Venter Institute
KY703894	KY703894.1	CHIKV/Homo sapiens/NIC/6446.1LA1/2015	2015-10-09	North America	Nicaragua	Managua		Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Balmaseda,A.L.,Guillermina,K.,Gresh,L.,Gordon,A.,Harris,E.	J. Craig Venter Institute
KY703907	KY703907.1	CHIKV/Homo sapiens/NIC/996.12.A.1/2015	2015-07-15	North America	Nicaragua	Managua		Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Balmaseda,A.L.,Guillermina,K.,Gresh,L.,Gordon,A.,Harris,E.	J. Craig Venter Institute
KY703911	KY703911.1	CHIKV/Homo sapiens/NIC/1167.12.A.1/2015	2015-12-17	North America	Nicaragua	Managua		Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Balmaseda,A.L.,Guillermina,K.,Gresh,L.,Gordon,A.,Harris,E.	J. Craig Venter Institute
KY703939	KY703939.1	KY703939	2015-12-01	North America	Nicaragua			Homo sapiens	2017-04-01		Shabman et al.	Shabman,R.,Pickett,B.,Das,S.R.,Fedorova,N.,Puri,V.,Shrivastava,S.,Amedeo,P.,Durbin,A.,Balmaseda,A.L.,Guillermina,K.,Gresh,L.,Gordon,A.,Harris,E.	J. Craig Venter Institute
KY704933	KY704933.1	CHIKV/Homo_sapiens/Brazil/2016/6AL	2016-03-30	South America	Brazil	Maceio	Alagoas	Homo sapiens	2017-07-24		da Costa et al.	da Costa,A.C.,Theze,J.,Komninakis,S.C.V.,Sanz-Duro,R.L.,Felinto,M.R.L.,Moura,L.C.C.,Barroso,I.M.O.,Santos,L.E.C.,Nunes,M.A.L.,Moura,A.A.,Lourenco,J.,Deng,X.,Delwart,E.L.,Guimaraes,M.R.A.S.,Pybus,O.G.,Sabino,E.C.,Faria,N.R.	University of Oxford, Department of Zoology
LC259083	LC259083.1	CHIKV/Hu/Indonesia/NIID58/2009	2009-09-11	Asia	Indonesia			Homo sapiens	2017-12-22		Nakayama et al.	Nakayama,E.,Tajima,S.,Kotaki,A.,Tomohiko,T.,Takasaki,T.	Virology I; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640
LC259085	LC259085.1	CHIKV/Hu/Indonesia/NIID181/2012	2012-10-15	Asia	Indonesia			Homo sapiens	2017-12-22		Nakayama et al.	Nakayama,E.,Tajima,S.,Kotaki,A.,Tomohiko,T.,Takasaki,T.	Virology I; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640
